Store,Size,Type_A,Type_B,Type_C
1,151315,1,0,0
2,202307,1,0,0
3,37392,0,1,0
4,205863,1,0,0
5,34875,0,1,0
6,202505,1,0,0
7,70713,0,1,0
8,155078,1,0,0
9,125833,0,1,0
10,126512,0,1,0
11,207499,1,0,0
12,112238,0,1,0
13,219622,1,0,0
14,200898,1,0,0
15,123737,0,1,0
16,57197,0,1,0
17,93188,0,1,0
18,120653,0,1,0
19,203819,1,0,0
20,203742,1,0,0
21,140167,0,1,0
22,119557,0,1,0
23,114533,0,1,0
24,203819,1,0,0
25,128107,0,1,0
26,152513,1,0,0
27,204184,1,0,0
28,206302,1,0,0
29,93638,0,1,0
30,42988,0,0,1
31,203750,1,0,0
32,203007,1,0,0
33,39690,1,0,0
34,158114,1,0,0
35,103681,0,1,0
36,39910,1,0,0
37,39910,0,0,1
38,39690,0,0,1
39,184109,1,0,0
40,155083,1,0,0
41,196321,1,0,0
42,39690,0,0,1
43,41062,0,0,1
44,39910,0,0,1
45,118221,0,1,0
